title;description;url;image
Todo App;A distraction-free web app to help you focus on creating and completing tasks.;https://kostyukovkg-my-todo-app-web-unn16n.streamlit.app;1.png
Visual Weather Forecast;A data web app that visualizes the weather forecast for the next five days of any city.;https://kkg-weather-forecast-app.streamlit.app/;16.png
Email Your Webcam Shot;A website that allows you to take a shot from your computer webcam and send it to an email.;https://kkg-webcam-app.streamlit.app/;11.png
Astronomy Picture of the Day; Web site that updates everyday photo + description from NASA API.;https://astronomy-picture-of-the-day.streamlit.app/;21.jpg
PDF Templates;A script that generates PDF templates of multiple pages given some predefined guidelines.;https://github.com/kostyukovkg/pdf-template;3.png
Google News API request;A script that returns news from Google News API based on requested topics and news sources.;https://github.com/kostyukovkg/Daily-news-from-gnews-api;5.png
PDF Invoices;A script that reads invoice records from Excel files and automatically generates PDF invoices.;https://github.com/kostyukovkg/excel-invoices-to-pdf;4.png
Internet Speed Analysis;A program that records the internet speed every few seconds and plots the values on the browser.;https://pythonhow.com;13.png
Download Cleaner;A script that monitors the Downloads folder and deletes old files keeping the folder clean.;https://pythonhow.com;7.png
Tour Scraper;A program that checks a music band's website and sends an email when there are new tours.;https://pythonhow.com;8.png
Helper Chatbot;A chatbot that knows about a specific topic and answers questions regarding that topic.;https://pythonhow.com;9.png
Open Domain Chatbot;A chatbot built that can discuss anything with a human and is built using the Facebook API.;https://pythonhow.com;10.png
Typing Analyzer;A program that monitors the computer keyboard and returns the most typed words of the session.;https://pythonhow.com;12.png
Monitoring Data;A program that monitors a particular website and periodically records the data to a remote server.;https://pythonhow.com;14.png
Visualizing Data;A program that visualizes the data collected in the previous monitoring program. ;https://pythonhow.com;15.png
Weather API;A REST API built with Python and Flask to serve historical weather data for various cities.;;6.png
Student Management System;A desktop PyQt6 GUI app for managing university student data with an SQL database backend.;https://pythonhow.com;17.png
School Management System;A desktop PyQt6 GUI app for managing complex university data with an SQL database backend.;https://pythonhow.com;18.png
Restaurant Menu Web App;A Django web app to let customers see a restaurant menu and meal availability.;https://pythonhow.com;19.png
Online Store;A Django online store app where users can place orders and sellers can manage them.;https://pythonhow.com;20.png
